Gene.secondaryIdentifier	Gene.length	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
YJL064W	396	Dubious	chrX	315175	315570	1
YJL065C	504	Verified	chrX	315054	315557	-1
YJL066C	759	Verified	chrX	314114	314872	-1
YJL067W	351	Dubious	chrX	314084	314434	1
YJL068C	900	Verified	chrX	313016	313915	-1
YJL069C	1785	Verified	chrX	310922	312706	-1
YJL070C	2667	Uncharacterized	chrX	307971	310637	-1
YJL071W	1725	Verified	chrX	306132	307856	1
YJL072C	642	Verified	chrX	305221	305862	-1
YJL073W	1938	Verified	chrX	303181	305118	1
YJL074C	3693	Verified	chrX	299157	302849	-1
YJL075C	417	Uncharacterized	chrX	298460	298876	-1
YJL076W	3570	Verified	chrX	295245	298814	1
YJL077C	396	Verified	chrX	294666	295061	-1
YJL078C	2646	Verified	chrX	291336	293981	-1
YJL079C	900	Verified	chrX	289875	290774	-1
YJL080C	3669	Verified	chrX	285558	289226	-1
YJL081C	1470	Verified	chrX	283802	285271	-1
YJL082W	2196	Verified	chrX	281185	283380	1
YJL083W	1815	Verified	chrX	278841	280655	1
YJL084C	3141	Verified	chrX	274862	278002	-1
YJL085W	1872	Verified	chrX	272827	274698	1
YJL086C	369	Dubious	chrX	272478	272846	-1
YJL087C	2484	Verified	chrX	270002	272485	-1
YJL088W	1017	Verified	chrX	268799	269815	1
YJL089W	2490	Verified	chrX	265926	268415	1
YJL090C	2295	Verified	chrX	262757	265051	-1
YJL091C	1473	Verified	chrX	261080	262552	-1
YJL092W	3525	Verified	chrX	257423	260947	1
YJL093C	2076	Verified	chrX	254737	256812	-1
YJL094C	2622	Verified	chrX	251821	254442	-1
YJL095W	4437	Verified	chrX	247255	251691	1
YJL096W	486	Verified	chrX	246490	246975	1
YJL097W	654	Verified	chrX	245591	246244	1
YJL098W	3177	Verified	chrX	242082	245258	1
YJL099W	2241	Verified	chrX	239414	241654	1
YJL100W	1824	Verified	chrX	237263	239086	1
YJL101C	2037	Verified	chrX	234320	236356	-1
YJL102W	2460	Verified	chrX	231301	233760	1
YJL103C	1857	Verified	chrX	229025	230881	-1
YJL104W	450	Verified	chrX	227327	227776	1
YJL105W	1683	Verified	chrX	225055	226737	1
YJL106W	1938	Verified	chrX	221390	223327	1
YJL107C	1164	Uncharacterized	chrX	218853	220016	-1
YJL108C	1152	Verified	chrX	217705	218856	-1
YJL109C	5310	Verified	chrX	212000	217309	-1
YJL110C	1656	Verified	chrX	209922	211577	-1
YJL111W	1653	Verified	chrX	207877	209529	1
YJL112W	2145	Verified	chrX	205305	207449	1
YJL113W	4648	""	chrX	198678	203325	1
YJL114W	681	""	chrX	197915	198595	1
YJL115W	840	Verified	chrX	196287	197126	1
YJL116C	1014	Verified	chrX	193860	194873	-1
YJL117W	936	Verified	chrX	192531	193466	1
YJL118W	660	Verified	chrX	191639	192298	1
YJL119C	324	Dubious	chrX	191572	191895	-1
YJL120W	324	Dubious	chrX	191022	191345	1
YJL121C	717	Verified	chrX	190374	191090	-1
YJL122W	528	Verified	chrX	189716	190243	1
YJL123C	1437	Verified	chrX	188004	189440	-1
YJL124C	519	Verified	chrX	187126	187644	-1
YJL125C	1152	Verified	chrX	185528	186679	-1
YJL126W	924	Verified	chrX	184501	185424	1
YJL127C	1923	Verified	chrX	182298	184220	-1
YJL128C	2007	Verified	chrX	178097	180103	-1
YJL129C	3708	Verified	chrX	173599	177306	-1
YJL130C	6645	Verified	chrX	165723	172367	-1
YJL131C	1071	Verified	chrX	164278	165348	-1
YJL132W	2253	Uncharacterized	chrX	161914	164166	1
YJL133W	945	Verified	chrX	160619	161563	1
YJL134W	1230	Verified	chrX	158188	159417	1
YJL135W	318	Dubious	chrX	157877	158194	1
YJL136C	724	Verified	chrX	156550	157273	-1
YJL137C	1143	Verified	chrX	154985	156127	-1
YJL138C	1188	Verified	chrX	153504	154691	-1
YJL139C	1287	Verified	chrX	151713	152999	-1
YJL140W	666	Verified	chrX	150961	151626	1
YJL141C	2424	Verified	chrX	147967	150390	-1
YJL142C	393	Uncharacterized	chrX	147819	148211	-1
YJL143W	477	Verified	chrX	147101	147577	1
YJL144W	315	Verified	chrX	146359	146673	1
YJL145W	885	Verified	chrX	145160	146044	1
YJL146W	1410	Verified	chrX	143292	144701	1
YJL147C	1149	Uncharacterized	chrX	141419	142567	-1
YJL148W	702	Verified	chrX	140437	141138	1
YJL149W	1992	Verified	chrX	137379	139370	1
YJL150W	303	Dubious	chrX	137123	137425	1
YJL151C	402	Verified	chrX	136372	136773	-1
YJL152W	360	Dubious	chrX	136174	136533	1
YJL153C	1602	Verified	chrX	134332	135933	-1
YJL154C	2835	Verified	chrX	131101	133935	-1
YJL155C	1359	Verified	chrX	129285	130643	-1
YJL156C	2100	Verified	chrX	126853	128952	-1
YJL157C	2493	Verified	chrX	123836	126328	-1
YJL158C	684	Verified	chrX	122265	122948	-1
YJL159W	1242	Verified	chrX	120449	121690	1
YJL160C	864	Uncharacterized	chrX	117962	118825	-1
YJL161W	543	Uncharacterized	chrX	117245	117787	1
YJL162C	1752	Verified	chrX	113878	115629	-1
YJL163C	1668	Uncharacterized	chrX	111666	113333	-1
YJL164C	1194	Verified	chrX	109966	111159	-1
YJL165C	2568	Verified	chrX	106894	109461	-1
YJL166W	285	Verified	chrX	106434	106718	1
YJL167W	1059	Verified	chrX	105014	106072	1
YJL168C	2202	Verified	chrX	102227	104428	-1
YJL169W	369	Dubious	chrX	102099	102467	1
YJL170C	630	Verified	chrX	101150	101779	-1
YJL171C	1191	Verified	chrX	99704	100894	-1
YJL172W	1731	Verified	chrX	97737	99467	1
YJL173C	369	Verified	chrX	96161	96529	-1
YJL174W	831	Verified	chrX	95092	95922	1
YJL175W	513	Dubious	chrX	94049	94561	1
YJL176C	2478	Verified	chrX	92053	94530	-1
YJL177W	872	Verified	chrX	90786	91657	1
YJL178C	816	Verified	chrX	89282	90097	-1
YJL179W	330	Verified	chrX	88787	89116	1
YJL180C	978	Verified	chrX	87583	88560	-1
YJL181W	1836	Uncharacterized	chrX	85660	87495	1
YJL182C	318	Dubious	chrX	85435	85752	-1
YJL183W	1269	Verified	chrX	84068	85336	1
YJL184W	372	Verified	chrX	83448	83819	1
YJL185C	882	Verified	chrX	82095	82976	-1
YJL186W	1761	Verified	chrX	80155	81915	1
YJL187C	2460	Verified	chrX	76803	79262	-1
YJL188C	309	Dubious	chrX	76202	76510	-1
YJL189W	542	Verified	chrX	75933	76474	1
YJL190C	393	Verified	chrX	74910	75302	-1
YJL191W	825	Verified	chrX	73787	74611	1
YJL192C	705	Verified	chrX	72710	73414	-1
YJL193W	1209	Uncharacterized	chrX	71366	72574	1
YJL194W	1542	Verified	chrX	69338	70879	1
YJL195C	702	Dubious	chrX	69241	69942	-1
YJL196C	933	Verified	chrX	67850	68782	-1
YJL197W	3765	Verified	chrX	63805	67569	1
YJL198W	2646	Verified	chrX	60844	63489	1
YJL199C	327	Verified	chrX	59856	60182	-1
YJL200C	2370	Verified	chrX	56444	58813	-1
YJL201W	1800	Verified	chrX	54379	56178	1
YJL202C	348	Dubious	chrX	53943	54290	-1
YJL203W	843	Verified	chrX	53341	54183	1
YJL204C	2523	Verified	chrX	50629	53151	-1
YJL206C	2277	Uncharacterized	chrX	47659	49935	-1
YJL205C	305	Verified	chrX	50139	50443	-1
YJL207C	6045	Verified	chrX	41389	47433	-1
YJL208C	990	Verified	chrX	40194	41183	-1
YJL209W	1965	Verified	chrX	38005	39969	1
YJL210W	816	Verified	chrX	36919	37734	1
YJL211C	444	Dubious	chrX	36757	37200	-1
YJL212C	2400	Verified	chrX	33850	36249	-1
YJL213W	996	Verified	chrX	32163	33158	1
YJL214W	1710	Verified	chrX	26887	28596	1
YJL215C	360	Dubious	chrX	26412	26771	-1
YJL216C	1746	Verified	chrX	24341	26086	-1
YJL217W	597	Verified	chrX	23133	23729	1
YJL218W	591	Uncharacterized	chrX	21973	22563	1
YJL219W	1704	Verified	chrX	19497	21200	1
YJL220W	453	Dubious	chrX	18243	18695	1
YJL221C	1770	Verified	chrX	16767	18536	-1
YJL222W	4650	Verified	chrX	11475	16124	1
YJL223C	363	Verified	chrX	8776	9138	-1
YJL225C	5665	Uncharacterized	chrX	466	6130	-1
YJR001W	1809	Verified	chrX	436802	438610	1
YJR002W	1782	Verified	chrX	438865	440646	1
YJR003C	1560	Uncharacterized	chrX	440994	442553	-1
YJR004C	1953	Verified	chrX	442909	444861	-1
YJR005W	2103	Verified	chrX	445923	448025	1
YJR006W	1464	Verified	chrX	449202	450665	1
YJR007W	915	Verified	chrX	451020	451934	1
YJR008W	1017	Verified	chrX	452430	453446	1
YJR009C	999	Verified	chrX	453683	454681	-1
YJR010C-A	285	Verified	chrX	458077	458361	-1
YJR010W	1536	Verified	chrX	456239	457774	1
YJR011C	786	Uncharacterized	chrX	458641	459426	-1
YJR012C	399	Verified	chrX	459795	460193	-1
YJR013W	1212	Verified	chrX	460382	461593	1
YJR014W	597	Verified	chrX	461829	462425	1
YJR015W	1533	Uncharacterized	chrX	462721	464253	1
YJR016C	1758	Verified	chrX	464451	466208	-1
YJR017C	513	Verified	chrX	466521	467033	-1
YJR018W	363	Dubious	chrX	466786	467148	1
YJR019C	1050	Verified	chrX	467232	468281	-1
YJR020W	333	Dubious	chrX	468001	468333	1
YJR021C	1025	Verified	chrX	468555	469579	-1
YJR022W	330	Verified	chrX	469784	470113	1
YJR023C	402	Dubious	chrX	469804	470205	-1
YJR024C	735	Verified	chrX	470230	470964	-1
YJR025C	534	Verified	chrX	471138	471671	-1
YJR026W	1323	""	chrX	472760	474082	1
YJR027W	5269	""	chrX	472760	478028	1
YJR028W	1323	""	chrX	478344	479666	1
YJR029W	5269	""	chrX	478344	483612	1
YJR030C	2238	Uncharacterized	chrX	483959	486196	-1
YJR031C	4227	Verified	chrX	486586	490812	-1
YJR032W	1182	Verified	chrX	491081	492262	1
YJR033C	4074	Verified	chrX	492378	496451	-1
YJR034W	327	Verified	chrX	496683	497009	1
YJR035W	3258	Verified	chrX	497355	500612	1
YJR036C	2679	Verified	chrX	500713	503391	-1
YJR037W	384	Dubious	chrX	503102	503485	1
YJR038C	363	Dubious	chrX	503710	504072	-1
YJR039W	3366	Uncharacterized	chrX	503936	507301	1
YJR040W	2340	Verified	chrX	507746	510085	1
YJR041C	3525	Verified	chrX	510239	513763	-1
YJR042W	2235	Verified	chrX	514055	516289	1
YJR043C	1053	Verified	chrX	516461	517513	-1
YJR044C	423	Verified	chrX	518763	519185	-1
YJR045C	1965	Verified	chrX	519638	521602	-1
YJR046W	1815	Verified	chrX	522048	523862	1
YJR047C	474	Verified	chrX	524908	525381	-1
YJR048W	330	Verified	chrX	526335	526664	1
YJR049C	1593	Verified	chrX	526884	528476	-1
YJR050W	708	Verified	chrX	528697	529404	1
YJR051W	1506	Verified	chrX	529861	531366	1
YJR052W	1698	Verified	chrX	532062	533759	1
YJR053W	1725	Verified	chrX	534027	535751	1
YJR054W	1494	Verified	chrX	536056	537549	1
YJR055W	495	Verified	chrX	538772	539266	1
YJR056C	711	Verified	chrX	541792	542502	-1
YJR057W	651	Verified	chrX	544062	544712	1
YJR058C	444	Verified	chrX	544732	545175	-1
YJR059W	2457	Verified	chrX	545787	548243	1
YJR060W	1056	Verified	chrX	548759	549814	1
YJR061W	2808	Uncharacterized	chrX	550511	553318	1
YJR062C	1374	Verified	chrX	553476	554849	-1
YJR063W	378	Verified	chrX	555195	555572	1
YJR064W	1689	Verified	chrX	555914	557602	1
YJR065C	1350	Verified	chrX	557809	559158	-1
YJR066W	7413	Verified	chrX	559416	566828	1
YJR067C	426	Verified	chrX	567019	567444	-1
YJR068W	1062	Verified	chrX	567643	568704	1
YJR069C	594	Verified	chrX	568806	569399	-1
YJR070C	978	Verified	chrX	569621	570598	-1
YJR071W	369	Dubious	chrX	570405	570773	1
YJR072C	1158	Verified	chrX	570967	572124	-1
YJR073C	621	Verified	chrX	572315	572935	-1
YJR074W	657	Verified	chrX	573095	573751	1
YJR075W	1191	Verified	chrX	573981	575171	1
YJR076C	1248	Verified	chrX	575354	576601	-1
YJR077C	936	Verified	chrX	577255	578190	-1
YJR078W	1362	Verified	chrX	578860	580221	1
YJR079W	1035	Uncharacterized	chrX	580205	581239	1
YJR080C	1185	Verified	chrX	580432	581616	-1
YJR082C	342	Verified	chrX	581914	582255	-1
YJR083C	930	Verified	chrX	582608	583537	-1
YJR084W	1272	Verified	chrX	583733	585004	1
YJR085C	318	Verified	chrX	585120	585437	-1
YJR086W	333	Verified	chrX	586068	586400	1
YJR087W	351	Dubious	chrX	586400	586750	1
YJR088C	879	Verified	chrX	586495	587373	-1
YJR089W	2865	Verified	chrX	587718	590582	1
YJR090C	3456	Verified	chrX	590872	594327	-1
YJR091C	3276	Verified	chrX	595061	598336	-1
YJR092W	4344	Verified	chrX	598735	603078	1
YJR093C	984	Verified	chrX	603220	604203	-1
YJR094C	1083	Verified	chrX	604569	605651	-1
YJR094W-A	554	Verified	chrX	608305	608858	1
YJR095W	969	Verified	chrX	609773	610741	1
YJR096W	849	Verified	chrX	611195	612043	1
YJR097W	519	Verified	chrX	612413	612931	1
YJR098C	1971	Uncharacterized	chrX	613186	615156	-1
YJR099W	711	Verified	chrX	615576	616286	1
YJR100C	984	Verified	chrX	616351	617334	-1
YJR101W	801	Verified	chrX	618234	619034	1
YJR102C	609	Verified	chrX	619157	619765	-1
YJR103W	1737	Verified	chrX	620754	622490	1
YJR104C	465	Verified	chrX	622550	623014	-1
YJR105W	1023	Verified	chrX	623581	624603	1
YJR106W	2178	Verified	chrX	624838	627015	1
YJR107W	987	Uncharacterized	chrX	627340	628326	1
YJR108W	372	Verified	chrX	628712	629083	1
YJR109C	3357	Verified	chrX	629585	632941	-1
YJR110W	2067	Verified	chrX	633615	635681	1
YJR111C	852	Verified	chrX	635855	636706	-1
YJR112W	606	Verified	chrX	637030	637635	1
YJR113C	744	Verified	chrX	638232	638975	-1
YJR114W	393	Dubious	chrX	638659	639051	1
YJR115W	510	Uncharacterized	chrX	639942	640451	1
YJR116W	840	Uncharacterized	chrX	640825	641664	1
YJR117W	1362	Verified	chrX	642007	643368	1
YJR118C	612	Verified	chrX	643490	644101	-1
YJR119C	2187	Verified	chrX	644304	646490	-1
YJR120W	351	Verified	chrX	647126	647476	1
YJR121W	1536	Verified	chrX	647607	649142	1
YJR122W	1494	Verified	chrX	649776	651269	1
YJR123W	678	Verified	chrX	651901	652578	1
YJR124C	1347	Uncharacterized	chrX	652892	654238	-1
YJR125C	1227	Verified	chrX	654737	655963	-1
YJR126C	2436	Verified	chrX	656254	658689	-1
YJR127C	4143	Verified	chrX	658917	663059	-1
YJR128W	360	Uncharacterized	chrX	662921	663280	1
YJR129C	1020	Verified	chrX	664000	665019	-1
YJR130C	1920	Verified	chrX	665218	667137	-1
YJR131W	1650	Verified	chrX	667644	669293	1
YJR132W	3147	Verified	chrX	669522	672668	1
YJR133W	630	Verified	chrX	672991	673620	1
YJR134C	2124	Verified	chrX	673729	675852	-1
YJR135C	720	Verified	chrX	676059	676778	-1
YJR136C	1266	Verified	chrX	677441	678706	-1
YJR137C	4329	Verified	chrX	678957	683285	-1
YJR138W	4755	Verified	chrX	684567	689321	1
YJR139C	1080	Verified	chrX	689445	690524	-1
YJR140C	4947	Verified	chrX	690750	695696	-1
YJR141W	1044	Verified	chrX	695906	696949	1
YJR142W	1029	Verified	chrX	697141	698169	1
YJR143C	2289	Verified	chrX	698326	700614	-1
YJR144W	810	Verified	chrX	700882	701691	1
YJR145C	1042	Verified	chrX	702027	703068	-1
YJR146W	354	Uncharacterized	chrX	703885	704238	1
YJR147W	1077	Verified	chrX	704196	705272	1
YJR148W	1131	Verified	chrX	705744	706874	1
YJR149W	1215	Uncharacterized	chrX	707160	708374	1
YJR150C	897	Verified	chrX	708811	709707	-1
YJR151C	3486	Verified	chrX	712255	715740	-1
YJR152W	1632	Verified	chrX	719666	721297	1
YJR153W	1086	Verified	chrX	722815	723900	1
YJR154W	1041	Uncharacterized	chrX	725784	726824	1
YJR155W	867	Verified	chrX	727405	728271	1
YJR156C	1023	Verified	chrX	728574	729596	-1
YJR157W	363	Dubious	chrX	730515	730877	1
YJR158W	1704	Verified	chrX	732440	734143	1
YJR159W	1074	Verified	chrX	736044	737117	1
YJR160C	1809	Verified	chrX	738008	739816	-1
YJR161C	1152	Verified	chrX	742848	743999	-1
YJR162C	351	Dubious	chrX	744911	745261	-1
YLL001W	2274	Verified	chrXII	147890	150163	1
YLL002W	1311	Verified	chrXII	146291	147601	1
YLL003W	2841	Verified	chrXII	143201	146041	1
YLL004W	1851	Verified	chrXII	141073	142923	1
YLL005C	2607	Verified	chrXII	137940	140546	-1
YLL006W	1281	Verified	chrXII	136586	137866	1
YLL007C	1998	Verified	chrXII	134302	136299	-1
YLL008W	2259	Verified	chrXII	131729	133987	1
YLL009C	210	Verified	chrXII	131205	131414	-1
YLL010C	1284	Verified	chrXII	129330	130613	-1
YLL011W	1470	Verified	chrXII	127523	128992	1
YLL012W	1722	Verified	chrXII	125534	127255	1
YLL013C	2640	Verified	chrXII	122075	124714	-1
YLL014W	327	Verified	chrXII	121322	121648	1
YLL015W	4680	Verified	chrXII	116432	121111	1
YLL016W	3147	""	chrXII	112847	115993	1
YLL017W	312	""	chrXII	112234	112545	1
YLL018C	1674	Verified	chrXII	109902	111575	-1
YLL019C	2214	Verified	chrXII	105686	107899	-1
YLL020C	306	Dubious	chrXII	105556	105861	-1
YLL021W	4401	Verified	chrXII	100947	105347	1
YLL022C	1158	Verified	chrXII	99044	100201	-1
YLL023C	840	Verified	chrXII	97997	98836	-1
YLL024C	1920	Verified	chrXII	95566	97485	-1
YLL025W	375	Verified	chrXII	94747	95121	1
YLL026W	2727	Verified	chrXII	88623	91349	1
YLL027W	753	Verified	chrXII	87403	88155	1
YLL028W	1761	Verified	chrXII	84804	86564	1
YLL029W	2250	Verified	chrXII	81461	83710	1
YLL030C	342	Uncharacterized	chrXII	80356	80697	-1
YLL031C	3054	Verified	chrXII	77152	80205	-1
YLL032C	2478	Verified	chrXII	74270	76747	-1
YLL033W	693	Verified	chrXII	73409	74101	1
YLL034C	2514	Verified	chrXII	70633	73146	-1
YLL035W	1899	Verified	chrXII	68580	70478	1
YLL036C	1512	Verified	chrXII	66745	68256	-1
YLL037W	381	Dubious	chrXII	66562	66942	1
YLL038C	744	Verified	chrXII	65775	66518	-1
YLL039C	1146	Verified	chrXII	64062	65207	-1
YLL040C	9435	Verified	chrXII	54211	63645	-1
YLL041C	801	Verified	chrXII	53131	53931	-1
YLL042C	504	Verified	chrXII	52087	52590	-1
YLL043W	2010	Verified	chrXII	49938	51947	1
YLL044W	447	Dubious	chrXII	48216	48662	1
YLL045C	771	Verified	chrXII	47859	48629	-1
YLL046C	750	Verified	chrXII	46714	47463	-1
YLL047W	384	Dubious	chrXII	46672	47055	1
YLL048C	4986	Verified	chrXII	41280	46265	-1
YLL049W	540	Verified	chrXII	40666	41205	1
YLL050C	611	Verified	chrXII	39804	40414	-1
YLL051C	2139	Verified	chrXII	37333	39471	-1
YLL052C	450	Verified	chrXII	35912	36361	-1
YLL053C	459	Uncharacterized	chrXII	35503	35961	-1
YLL054C	2532	Uncharacterized	chrXII	32673	35204	-1
YLL055W	1596	Verified	chrXII	30109	31704	1
YLL056C	897	Verified	chrXII	27409	28305	-1
YLL057C	1239	Verified	chrXII	25756	26994	-1
YLL058W	1728	Uncharacterized	chrXII	23569	25296	1
YLL059C	507	Dubious	chrXII	22474	22980	-1
YLL060C	702	Verified	chrXII	21138	21839	-1
YLL061W	1752	Verified	chrXII	17956	19707	1
YLL062C	975	Verified	chrXII	16639	17613	-1
YLL063C	1425	Verified	chrXII	14648	16072	-1
YLL064C	363	Verified	chrXII	13083	13445	-1
YLL065W	351	Dubious	chrXII	11726	12076	1
YLL066C	3717	Uncharacterized	chrXII	6120	9836	-1
YLL067C	3717	Uncharacterized	chrXII	585	4301	-1
YLR001C	2589	Uncharacterized	chrXII	151389	153977	-1
YLR002C	1992	Verified	chrXII	154343	156334	-1
YLR003C	876	Verified	chrXII	156855	157730	-1
YLR004C	1572	Verified	chrXII	157934	159505	-1
YLR005W	1386	Verified	chrXII	160049	161434	1
YLR006C	2139	Verified	chrXII	161755	163893	-1
YLR007W	1011	Verified	chrXII	164392	165402	1
YLR008C	507	Verified	chrXII	165577	166083	-1
YLR009W	600	Verified	chrXII	166537	167136	1
YLR010C	483	Verified	chrXII	167320	167802	-1
YLR011W	576	Verified	chrXII	169103	169678	1
YLR012C	300	Uncharacterized	chrXII	169982	170281	-1
YLR013W	426	Verified	chrXII	171339	171764	1
YLR014C	2715	Verified	chrXII	172268	174982	-1
YLR015W	1518	Verified	chrXII	175227	176744	1
YLR016C	615	Verified	chrXII	176802	177416	-1
YLR017W	1014	Verified	chrXII	177608	178621	1
YLR018C	900	Verified	chrXII	178707	179606	-1
YLR019W	1194	Verified	chrXII	180288	181481	1
YLR020C	1617	Verified	chrXII	181789	183405	-1
YLR021W	540	Verified	chrXII	183623	184162	1
YLR022C	753	Verified	chrXII	184174	184926	-1
YLR023C	1632	Verified	chrXII	185498	187129	-1
YLR024C	5619	Verified	chrXII	187663	193281	-1
YLR025W	723	Verified	chrXII	194452	195174	1
YLR026C	1023	Verified	chrXII	195450	196472	-1
YLR027C	1257	Verified	chrXII	196829	198085	-1
YLR028C	1776	Verified	chrXII	199540	201315	-1
YLR029C	615	Verified	chrXII	201976	202590	-1
YLR030W	792	Uncharacterized	chrXII	203290	204081	1
YLR031W	561	Uncharacterized	chrXII	204225	204785	1
YLR032W	3510	Verified	chrXII	204991	208500	1
YLR033W	1509	Verified	chrXII	208761	210269	1
YLR034C	1422	Verified	chrXII	210512	211933	-1
YLR035C	2088	Verified	chrXII	212369	214456	-1
YLR036C	612	Uncharacterized	chrXII	221521	222132	-1
YLR037C	375	Verified	chrXII	222685	223059	-1
YLR038C	252	Verified	chrXII	224921	225172	-1
YLR039C	3171	Verified	chrXII	225426	228596	-1
YLR040C	675	Verified	chrXII	228908	229582	-1
YLR041W	321	Dubious	chrXII	229377	229697	1
YLR042C	486	Verified	chrXII	229966	230451	-1
YLR043C	312	Verified	chrXII	231702	232013	-1
YLR044C	1692	Verified	chrXII	232390	234081	-1
YLR045C	2667	Verified	chrXII	235037	237703	-1
YLR046C	813	Uncharacterized	chrXII	238001	238813	-1
YLR047C	2061	Verified	chrXII	239347	241407	-1
YLR048W	1118	Verified	chrXII	242232	243349	1
YLR049C	1287	Uncharacterized	chrXII	243886	245172	-1
YLR050C	486	Verified	chrXII	245587	246072	-1
YLR051C	654	Verified	chrXII	246324	246977	-1
YLR052W	753	Verified	chrXII	247201	247953	1
YLR053C	327	Uncharacterized	chrXII	248100	248426	-1
YLR054C	2262	Verified	chrXII	248717	250978	-1
YLR055C	1809	Verified	chrXII	251272	253080	-1
YLR056W	1098	Verified	chrXII	253861	254958	1
YLR057W	2550	Verified	chrXII	255306	257855	1
YLR058C	1410	Verified	chrXII	257992	259401	-1
YLR059C	810	Verified	chrXII	259738	260547	-1
YLR060W	1788	Verified	chrXII	260979	262766	1
YLR061W	755	Verified	chrXII	263194	263948	1
YLR062C	378	Dubious	chrXII	263577	263954	-1
YLR063W	1098	Verified	chrXII	264157	265254	1
YLR064W	822	Verified	chrXII	265456	266277	1
YLR065C	546	Verified	chrXII	266373	266918	-1
YLR066W	555	Verified	chrXII	267169	267723	1
YLR067C	2898	Verified	chrXII	267813	270710	-1
YLR068W	456	Verified	chrXII	271008	271463	1
YLR069C	2286	Verified	chrXII	271630	273915	-1
YLR070C	1071	Verified	chrXII	274141	275211	-1
YLR071C	3249	Verified	chrXII	275378	278626	-1
YLR072W	2082	Verified	chrXII	278862	280943	1
YLR073C	603	Verified	chrXII	281019	281621	-1
YLR074C	501	Verified	chrXII	281956	282456	-1
YLR075W	666	Verified	chrXII	282927	283592	1
YLR076C	423	Dubious	chrXII	283185	283607	-1
YLR077W	1752	Verified	chrXII	283872	285623	1
YLR078C	824	Verified	chrXII	285736	286559	-1
YLR079W	855	Verified	chrXII	286820	287674	1
YLR080W	1335	Verified	chrXII	287916	289250	1
YLR081W	1725	Verified	chrXII	290212	291936	1
YLR082C	1179	Verified	chrXII	292394	293572	-1
YLR083C	2004	Verified	chrXII	294091	296094	-1
YLR084C	3663	Verified	chrXII	296589	300251	-1
YLR085C	1317	Verified	chrXII	300673	301989	-1
YLR086W	4257	Verified	chrXII	302243	306499	1
YLR087C	8877	Verified	chrXII	306855	315731	-1
YLR088W	1845	Verified	chrXII	316107	317951	1
YLR089C	1779	Verified	chrXII	318237	320015	-1
YLR090W	1380	Verified	chrXII	320701	322080	1
YLR091W	882	Verified	chrXII	322297	323178	1
YLR092W	2682	Verified	chrXII	323544	326225	1
YLR093C	903	Verified	chrXII	326513	327415	-1
YLR094C	1509	Verified	chrXII	327730	329238	-1
YLR095C	2439	Verified	chrXII	329677	332115	-1
YLR096W	3444	Verified	chrXII	332590	336033	1
YLR097C	1035	Verified	chrXII	336231	337265	-1
YLR098C	1947	Verified	chrXII	337527	339473	-1
YLR099C	1185	Verified	chrXII	339744	340928	-1
YLR100W	1044	Verified	chrXII	341810	342853	1
YLR101C	396	Dubious	chrXII	342566	342961	-1
YLR102C	798	Verified	chrXII	342970	343767	-1
YLR103C	1953	Verified	chrXII	343989	345941	-1
YLR104W	396	Uncharacterized	chrXII	346585	346980	1
YLR105C	1134	Verified	chrXII	347047	348180	-1
YLR106C	14733	Verified	chrXII	349006	363738	-1
YLR107W	1215	Verified	chrXII	364116	365330	1
YLR108C	1458	Verified	chrXII	366667	368124	-1
YLR109W	531	Verified	chrXII	368781	369311	1
YLR110C	402	Verified	chrXII	369697	370098	-1
YLR111W	333	Uncharacterized	chrXII	370391	370723	1
YLR112W	420	Uncharacterized	chrXII	370791	371210	1
YLR113W	1308	Verified	chrXII	371620	372927	1
YLR114C	2295	Verified	chrXII	374944	377238	-1
YLR115W	2580	Verified	chrXII	377985	380564	1
YLR116W	1431	Verified	chrXII	380822	382252	1
YLR117C	2064	Verified	chrXII	382471	384534	-1
YLR118C	684	Verified	chrXII	384725	385408	-1
YLR119W	642	Verified	chrXII	385534	386175	1
YLR120C	1710	Verified	chrXII	386511	388220	-1
YLR121C	1527	Verified	chrXII	388744	390270	-1
YLR122C	378	Uncharacterized	chrXII	390954	391331	-1
YLR123C	330	Dubious	chrXII	391078	391407	-1
YLR124W	345	Dubious	chrXII	391600	391944	1
YLR125W	411	Uncharacterized	chrXII	393484	393894	1
YLR126C	756	Verified	chrXII	394765	395520	-1
YLR127C	2562	Verified	chrXII	395758	398319	-1
YLR128W	904	Verified	chrXII	398530	399433	1
YLR129W	2832	Verified	chrXII	399657	402488	1
YLR130C	1269	Verified	chrXII	402794	404062	-1
YLR131C	2313	Verified	chrXII	404510	406822	-1
YLR132C	873	Verified	chrXII	407283	408155	-1
YLR133W	1749	Verified	chrXII	408445	410193	1
YLR134W	1692	Verified	chrXII	410723	412414	1
YLR135W	2247	Verified	chrXII	413281	415527	1
YLR136C	858	Verified	chrXII	415801	416658	-1
YLR137W	1104	Verified	chrXII	417006	418109	1
YLR138W	2958	Verified	chrXII	418437	421394	1
YLR139C	1932	Verified	chrXII	421542	423473	-1
YLR140W	327	Dubious	chrXII	423474	423800	1
YLR141W	1092	Verified	chrXII	423683	424774	1
YLR142W	1431	Verified	chrXII	425186	426616	1
YLR143W	2058	Verified	chrXII	427329	429386	1
YLR144C	2340	Verified	chrXII	429677	432016	-1
YLR145W	606	Verified	chrXII	432168	432773	1
