Gene.secondaryIdentifier	Gene.transcripts.chromosome.primaryIdentifier	Gene.transcripts.UTRs.chromosomeLocation.start	Gene.transcripts.UTRs.chromosomeLocation.end	Gene.chromosomeLocation.strand	Gene.transcripts.UTRs.primaryIdentifier
YHR085W	chrVIII	277769	277915	1	YHR085W_id001-3prime-utr
YHR086W	chrVIII	277928	278152	1	YHR086W_id001-5prime-utr
YHR086W	chrVIII	279725	280194	1	YHR086W_id001-3prime-utr
YHR087W	chrVIII	280470	280819	1	YHR087W_id001-5prime-utr
YHR087W	chrVIII	281156	281339	1	YHR087W_id001-3prime-utr
YHR088W	chrVIII	281463	281494	1	YHR088W_id001-5prime-utr
YHR088W	chrVIII	282383	282583	1	YHR088W_id001-3prime-utr
YHR089C	chrVIII	282352	282680	-1	YHR089C_id001-3prime-utr
YHR089C	chrVIII	283299	283367	-1	YHR089C_id001-5prime-utr
YHR090C	chrVIII	283528	283776	-1	YHR090C_id001-3prime-utr
YHR090C	chrVIII	284626	284820	-1	YHR090C_id001-5prime-utr
YHR091C	chrVIII	284700	284838	-1	YHR091C_id001-3prime-utr
YHR091C	chrVIII	286771	286811	-1	YHR091C_id001-5prime-utr
YHR092C	chrVIII	286954	287080	-1	YHR092C_id001-3prime-utr
YHR092C	chrVIII	288812	289156	-1	YHR092C_id001-5prime-utr
YHR094C	chrVIII	290828	290912	-1	YHR094C_id001-3prime-utr
YHR094C	chrVIII	292626	293256	-1	YHR094C_id001-5prime-utr
YHR097C	chrVIII	297285	297384	-1	YHR097C_id001-3prime-utr
YHR097C	chrVIII	298610	298732	-1	YHR097C_id001-5prime-utr
YHR098C	chrVIII	299003	299144	-1	YHR098C_id001-3prime-utr
YHR098C	chrVIII	301935	302034	-1	YHR098C_id001-5prime-utr
YHR100C	chrVIII	313828	314115	-1	YHR100C_id001-3prime-utr
YHR100C	chrVIII	314674	314729	-1	YHR100C_id001-5prime-utr
YHR101C	chrVIII	314573	314873	-1	YHR101C_id001-3prime-utr
YHR101C	chrVIII	315969	316066	-1	YHR101C_id001-5prime-utr
YHR102W	chrVIII	316388	316571	1	YHR102W_id001-5prime-utr
YHR102W	chrVIII	319815	319900	1	YHR102W_id001-3prime-utr
YHR103W	chrVIII	320160	320413	1	YHR103W_id001-5prime-utr
YHR103W	chrVIII	322973	323168	1	YHR103W_id001-3prime-utr
YHR104W	chrVIII	323260	323408	1	YHR104W_id001-5prime-utr
YHR104W	chrVIII	324393	324579	1	YHR104W_id001-3prime-utr
YHR105W	chrVIII	324660	324765	1	YHR105W_id001-5prime-utr
YHR105W	chrVIII	325411	325640	1	YHR105W_id001-3prime-utr
YHR106W	chrVIII	324913	325597	1	YHR106W_id001-5prime-utr
YHR106W	chrVIII	326627	326745	1	YHR106W_id001-3prime-utr
YHR107C	chrVIII	326650	326812	-1	YHR107C_id001-3prime-utr
YHR107C	chrVIII	328037	328152	-1	YHR107C_id001-5prime-utr
YHR108W	chrVIII	328230	328302	1	YHR108W_id001-5prime-utr
YHR108W	chrVIII	330061	330267	1	YHR108W_id001-3prime-utr
YHR109W	chrVIII	330252	330309	1	YHR109W_id001-5prime-utr
YHR109W	chrVIII	332068	332161	1	YHR109W_id001-3prime-utr
YHR110W	chrVIII	331409	332281	1	YHR110W_id001-5prime-utr
YHR110W	chrVIII	332921	333033	1	YHR110W_id001-3prime-utr
YHR111W	chrVIII	333059	333071	1	YHR111W_id001-5prime-utr
YHR111W	chrVIII	334395	336063	1	YHR111W_id001-3prime-utr
YHR112C	chrVIII	334230	334526	-1	YHR112C_id001-3prime-utr
YHR112C	chrVIII	335664	336163	-1	YHR112C_id001-5prime-utr
YHR113W	chrVIII	336151	336336	1	YHR113W_id001-5prime-utr
YHR113W	chrVIII	337810	337960	1	YHR113W_id001-3prime-utr
YHR116W	chrVIII	340761	341664	1	YHR116W_id001-5prime-utr
YHR116W	chrVIII	342121	342355	1	YHR116W_id001-3prime-utr
YHR117W	chrVIII	342317	342348	1	YHR117W_id001-5prime-utr
YHR117W	chrVIII	344269	344563	1	YHR117W_id001-3prime-utr
YHR118C	chrVIII	344218	344320	-1	YHR118C_id001-3prime-utr
YHR118C	chrVIII	345629	345731	-1	YHR118C_id001-5prime-utr
YHR119W	chrVIII	345788	346042	1	YHR119W_id001-5prime-utr
YHR119W	chrVIII	349286	349426	1	YHR119W_id001-3prime-utr
YHR121W	chrVIII	352676	352755	1	YHR121W_id001-5prime-utr
YHR121W	chrVIII	353320	353536	1	YHR121W_id001-3prime-utr
YHR122W	chrVIII	353621	353624	1	YHR122W_id001-5prime-utr
YHR122W	chrVIII	354321	354845	1	YHR122W_id001-3prime-utr
YHR123W	chrVIII	354727	354814	1	YHR123W_id001-5prime-utr
YHR123W	chrVIII	356082	356221	1	YHR123W_id001-3prime-utr
YHR126C	chrVIII	359593	359701	-1	YHR126C_id001-3prime-utr
YHR126C	chrVIII	360182	360334	-1	YHR126C_id001-5prime-utr
YHR127W	chrVIII	360841	360912	1	YHR127W_id001-5prime-utr
YHR127W	chrVIII	361645	362093	1	YHR127W_id001-3prime-utr
YHR128W	chrVIII	362076	362114	1	YHR128W_id001-5prime-utr
YHR128W	chrVIII	362766	363084	1	YHR128W_id001-3prime-utr
YHR129C	chrVIII	361737	362998	-1	YHR129C_id001-3prime-utr
YHR129C	chrVIII	364154	364250	-1	YHR129C_id001-5prime-utr
YHR130C	chrVIII	364921	364964	-1	YHR130C_id001-3prime-utr
YHR130C	chrVIII	365301	366659	-1	YHR130C_id001-5prime-utr
YHR131C	chrVIII	365064	365339	-1	YHR131C_id001-3prime-utr
YHR131C	chrVIII	367893	367975	-1	YHR131C_id001-5prime-utr
YHR131W-A	chrVIII	367484	367746	1	YHR131W-A_id001-5prime-utr
YHR131W-A	chrVIII	367993	368517	1	YHR131W-A_id001-3prime-utr
YHR132C	chrVIII	368317	368501	-1	YHR132C_id001-3prime-utr
YHR132C	chrVIII	369795	369870	-1	YHR132C_id001-5prime-utr
YHR132W-A	chrVIII	370023	370053	1	YHR132W-A_id001-5prime-utr
YHR132W-A	chrVIII	370450	370758	1	YHR132W-A_id001-3prime-utr
YHR133C	chrVIII	370702	370721	-1	YHR133C_id001-3prime-utr
YHR133C	chrVIII	371598	371844	-1	YHR133C_id001-5prime-utr
YHR134W	chrVIII	371748	371748	1	YHR134W_id001-5prime-utr
YHR134W	chrVIII	372559	373363	1	YHR134W_id001-3prime-utr
YHR135C	chrVIII	372311	372693	-1	YHR135C_id001-3prime-utr
YHR135C	chrVIII	374311	374430	-1	YHR135C_id001-5prime-utr
YHR136C	chrVIII	374514	374653	-1	YHR136C_id001-3prime-utr
YHR136C	chrVIII	375101	375309	-1	YHR136C_id001-5prime-utr
YHR137W	chrVIII	375398	375708	1	YHR137W_id001-5prime-utr
YHR137W	chrVIII	377251	377395	1	YHR137W_id001-3prime-utr
YHR138C	chrVIII	377215	377354	-1	YHR138C_id001-3prime-utr
YHR138C	chrVIII	377700	378049	-1	YHR138C_id001-5prime-utr
YHR139C	chrVIII	377925	378218	-1	YHR139C_id001-3prime-utr
YHR139C	chrVIII	379200	379210	-1	YHR139C_id001-5prime-utr
YHR140W	chrVIII	380513	380571	1	YHR140W_id001-5prime-utr
YHR140W	chrVIII	381292	381527	1	YHR140W_id001-3prime-utr
YHR141C	chrVIII	381885	381989	-1	YHR141C_id001-3prime-utr
YHR141C	chrVIII	382752	384800	-1	YHR141C_id001-5prime-utr
YHR142W	chrVIII	383397	383537	1	YHR142W_id001-5prime-utr
YHR142W	chrVIII	384489	385203	1	YHR142W_id001-3prime-utr
YHR143W	chrVIII	385232	385509	1	YHR143W_id001-5prime-utr
YHR143W	chrVIII	386488	386789	1	YHR143W_id001-3prime-utr
YHR143W-A	chrVIII	386900	387232	1	YHR143W-A_id001-5prime-utr
YHR143W-A	chrVIII	387446	387711	1	YHR143W-A_id001-3prime-utr
YHR144C	chrVIII	387612	387787	-1	YHR144C_id001-3prime-utr
YHR144C	chrVIII	388727	388732	-1	YHR144C_id001-5prime-utr
YHR146W	chrVIII	390261	390299	1	YHR146W_id001-5prime-utr
YHR146W	chrVIII	391698	391752	1	YHR146W_id001-3prime-utr
YHR147C	chrVIII	392249	392638	-1	YHR147C_id001-3prime-utr
YHR147C	chrVIII	393284	393331	-1	YHR147C_id001-5prime-utr
YHR148W	chrVIII	393511	393533	1	YHR148W_id001-5prime-utr
YHR148W	chrVIII	394086	394485	1	YHR148W_id001-3prime-utr
YHR149C	chrVIII	394256	394454	-1	YHR149C_id001-3prime-utr
YHR149C	chrVIII	396660	396789	-1	YHR149C_id001-5prime-utr
YHR150W	chrVIII	397191	397250	1	YHR150W_id001-5prime-utr
YHR150W	chrVIII	398991	399213	1	YHR150W_id001-3prime-utr
YHR151C	chrVIII	399014	399267	-1	YHR151C_id001-3prime-utr
YHR151C	chrVIII	400849	401014	-1	YHR151C_id001-5prime-utr
YHR152W	chrVIII	401315	401433	1	YHR152W_id001-5prime-utr
YHR152W	chrVIII	401956	402071	1	YHR152W_id001-3prime-utr
YHR153C	chrVIII	401351	402085	-1	YHR153C_id001-3prime-utr
YHR153C	chrVIII	402683	402722	-1	YHR153C_id001-5prime-utr
YHR154W	chrVIII	402914	402965	1	YHR154W_id001-5prime-utr
YHR154W	chrVIII	406179	406260	1	YHR154W_id001-3prime-utr
YHR156C	chrVIII	410873	411383	-1	YHR156C_id001-3prime-utr
YHR156C	chrVIII	412407	412474	-1	YHR156C_id001-5prime-utr
YHR157W	chrVIII	412308	412906	1	YHR157W_id001-5prime-utr
YHR157W	chrVIII	413456	413596	1	YHR157W_id001-3prime-utr
YHR159W	chrVIII	417474	417548	1	YHR159W_id001-5prime-utr
YHR159W	chrVIII	419064	420326	1	YHR159W_id001-3prime-utr
YHR160C	chrVIII	419150	419220	-1	YHR160C_id001-3prime-utr
YHR160C	chrVIII	420073	420079	-1	YHR160C_id001-5prime-utr
YHR161C	chrVIII	420223	420372	-1	YHR161C_id001-3prime-utr
YHR161C	chrVIII	422287	422528	-1	YHR161C_id001-5prime-utr
YHR162W	chrVIII	422669	423071	1	YHR162W_id001-5prime-utr
YHR162W	chrVIII	423462	423575	1	YHR162W_id001-3prime-utr
YHR163W	chrVIII	423716	423723	1	YHR163W_id001-5prime-utr
YHR163W	chrVIII	424474	424892	1	YHR163W_id001-3prime-utr
YHR166C	chrVIII	437013	437169	-1	YHR166C_id001-3prime-utr
YHR166C	chrVIII	439051	439152	-1	YHR166C_id001-5prime-utr
YHR167W	chrVIII	439278	439341	1	YHR167W_id001-5prime-utr
YHR167W	chrVIII	440128	440643	1	YHR167W_id001-3prime-utr
YHR168W	chrVIII	440271	440376	1	YHR168W_id001-5prime-utr
YHR168W	chrVIII	441934	442152	1	YHR168W_id001-3prime-utr
YHR169W	chrVIII	442110	442180	1	YHR169W_id001-5prime-utr
YHR169W	chrVIII	443477	443700	1	YHR169W_id001-3prime-utr
YHR170W	chrVIII	443786	443827	1	YHR170W_id001-5prime-utr
YHR170W	chrVIII	445385	445582	1	YHR170W_id001-3prime-utr
YHR171W	chrVIII	445695	445712	1	YHR171W_id001-5prime-utr
YHR171W	chrVIII	447606	447728	1	YHR171W_id001-3prime-utr
YHR172W	chrVIII	448203	448334	1	YHR172W_id001-5prime-utr
YHR172W	chrVIII	450807	451165	1	YHR172W_id001-3prime-utr
YHR174W	chrVIII	451297	451326	1	YHR174W_id001-5prime-utr
YHR174W	chrVIII	452641	452951	1	YHR174W_id001-3prime-utr
YHR175W	chrVIII	451620	452871	1	YHR175W_id001-5prime-utr
YHR175W	chrVIII	453442	453637	1	YHR175W_id001-3prime-utr
YHR175W-A	chrVIII	452889	453557	1	YHR175W-A_id001-5prime-utr
YHR175W-A	chrVIII	453708	453903	1	YHR175W-A_id001-3prime-utr
YHR176W	chrVIII	454030	454228	1	YHR176W_id001-5prime-utr
YHR176W	chrVIII	455528	455639	1	YHR176W_id001-3prime-utr
YHR178W	chrVIII	459249	459298	1	YHR178W_id001-5prime-utr
YHR178W	chrVIII	461531	461708	1	YHR178W_id001-3prime-utr
YHR179W	chrVIII	462094	462501	1	YHR179W_id001-5prime-utr
YHR179W	chrVIII	463705	463807	1	YHR179W_id001-3prime-utr
YHR182C-A	chrVIII	470852	470938	-1	YHR182C-A_id001-3prime-utr
YHR182C-A	chrVIII	471413	471533	-1	YHR182C-A_id001-5prime-utr
YHR182W	chrVIII	468149	468218	1	YHR182W_id001-5prime-utr
YHR182W	chrVIII	470577	470623	1	YHR182W_id001-3prime-utr
YHR183W	chrVIII	470883	470959	1	YHR183W_id001-5prime-utr
YHR183W	chrVIII	472430	472611	1	YHR183W_id001-3prime-utr
YHR187W	chrVIII	480930	480989	1	YHR187W_id001-5prime-utr
YHR187W	chrVIII	481920	482039	1	YHR187W_id001-3prime-utr
YHR188C	chrVIII	481934	482004	-1	YHR188C_id001-3prime-utr
YHR188C	chrVIII	483838	484684	-1	YHR188C_id001-5prime-utr
YHR189W	chrVIII	483164	484027	1	YHR189W_id001-5prime-utr
YHR189W	chrVIII	484601	484629	1	YHR189W_id001-3prime-utr
YHR190W	chrVIII	484048	484844	1	YHR190W_id001-5prime-utr
YHR190W	chrVIII	486180	486287	1	YHR190W_id001-3prime-utr
YHR191C	chrVIII	485918	486229	-1	YHR191C_id001-3prime-utr
YHR191C	chrVIII	486632	486691	-1	YHR191C_id001-5prime-utr
YHR192W	chrVIII	486497	486825	1	YHR192W_id001-5prime-utr
YHR192W	chrVIII	487663	487742	1	YHR192W_id001-3prime-utr
YHR193C	chrVIII	487288	487711	-1	YHR193C_id001-3prime-utr
YHR193C	chrVIII	488237	488268	-1	YHR193C_id001-5prime-utr
YHR193C-A	chrVIII	488392	488652	-1	YHR193C-A_id001-3prime-utr
YHR193C-A	chrVIII	489028	489109	-1	YHR193C-A_id001-5prime-utr
YHR194W	chrVIII	488580	488656	1	YHR194W_id001-5prime-utr
YHR194W	chrVIII	490397	490488	1	YHR194W_id001-3prime-utr
YHR195W	chrVIII	490571	490746	1	YHR195W_id001-5prime-utr
YHR195W	chrVIII	491713	492305	1	YHR195W_id001-3prime-utr
YHR196W	chrVIII	491853	491930	1	YHR196W_id001-5prime-utr
YHR196W	chrVIII	493659	493783	1	YHR196W_id001-3prime-utr
YHR197W	chrVIII	493842	493895	1	YHR197W_id001-5prime-utr
YHR197W	chrVIII	496188	496316	1	YHR197W_id001-3prime-utr
YHR199C	chrVIII	497405	497489	-1	YHR199C_id001-3prime-utr
YHR199C	chrVIII	498423	498853	-1	YHR199C_id001-5prime-utr
YHR200W	chrVIII	499055	499078	1	YHR200W_id001-5prime-utr
YHR200W	chrVIII	499886	500398	1	YHR200W_id001-3prime-utr
YHR201C	chrVIII	499887	499949	-1	YHR201C_id001-3prime-utr
YHR201C	chrVIII	501144	501780	-1	YHR201C_id001-5prime-utr
YHR202W	chrVIII	502356	502387	1	YHR202W_id001-5prime-utr
YHR202W	chrVIII	504197	504436	1	YHR202W_id001-3prime-utr
YHR203C	chrVIII	504188	504475	-1	YHR203C_id001-3prime-utr
YHR203C	chrVIII	505531	505605	-1	YHR203C_id001-5prime-utr
YHR204W	chrVIII	506158	506318	1	YHR204W_id001-5prime-utr
YHR204W	chrVIII	508710	508800	1	YHR204W_id001-3prime-utr
YHR205W	chrVIII	508885	509362	1	YHR205W_id001-5prime-utr
YHR205W	chrVIII	511838	512048	1	YHR205W_id001-3prime-utr
YHR208W	chrVIII	516711	517531	1	YHR208W_id001-5prime-utr
YHR208W	chrVIII	518714	518865	1	YHR208W_id001-3prime-utr
YHR209W	chrVIII	519017	519436	1	YHR209W_id001-5prime-utr
YHR209W	chrVIII	520313	520726	1	YHR209W_id001-3prime-utr
YHR210C	chrVIII	520487	520711	-1	YHR210C_id001-3prime-utr
YHR210C	chrVIII	521738	523538	-1	YHR210C_id001-5prime-utr
YHR216W	chrVIII	554290	554395	1	YHR216W_id001-5prime-utr
YHR216W	chrVIII	555968	556163	1	YHR216W_id001-3prime-utr
YIL001W	chrIX	353674	353939	1	YIL001W_id001-5prime-utr
YIL001W	chrIX	355482	355540	1	YIL001W_id001-3prime-utr
YIL002C	chrIX	350435	350590	-1	YIL002C_id001-3prime-utr
YIL002C	chrIX	353432	353643	-1	YIL002C_id001-5prime-utr
YIL002W-A	chrIX	350285	350300	1	YIL002W-A_id001-5prime-utr
YIL002W-A	chrIX	350511	351052	1	YIL002W-A_id001-3prime-utr
YIL003W	chrIX	348683	349121	1	YIL003W_id001-5prime-utr
YIL003W	chrIX	350004	350106	1	YIL003W_id001-3prime-utr
YIL004C	chrIX	347336	347945	-1	YIL004C_id001-3prime-utr
YIL004C	chrIX	348506	348524	-1	YIL004C_id001-5prime-utr
YIL005W	chrIX	345559	345691	1	YIL005W_id001-5prime-utr
YIL005W	chrIX	347798	348001	1	YIL005W_id001-3prime-utr
YIL006W	chrIX	343837	344061	1	YIL006W_id001-5prime-utr
YIL006W	chrIX	345184	345425	1	YIL006W_id001-3prime-utr
YIL007C	chrIX	342841	342993	-1	YIL007C_id001-3prime-utr
YIL007C	chrIX	343657	343861	-1	YIL007C_id001-5prime-utr
YIL008W	chrIX	342490	342535	1	YIL008W_id001-5prime-utr
YIL008W	chrIX	342836	343590	1	YIL008W_id001-3prime-utr
YIL009C-A	chrIX	335408	335665	-1	YIL009C-A_id001-3prime-utr
YIL009C-A	chrIX	336213	336230	-1	YIL009C-A_id001-5prime-utr
YIL009W	chrIX	339330	339343	1	YIL009W_id001-5prime-utr
YIL009W	chrIX	341429	342308	1	YIL009W_id001-3prime-utr
YIL010W	chrIX	334773	334881	1	YIL010W_id001-5prime-utr
YIL010W	chrIX	335530	335772	1	YIL010W_id001-3prime-utr
YIL011W	chrIX	333430	333726	1	YIL011W_id001-5prime-utr
YIL011W	chrIX	334537	334664	1	YIL011W_id001-3prime-utr
YIL012W	chrIX	332921	333010	1	YIL012W_id001-5prime-utr
YIL012W	chrIX	333353	333679	1	YIL012W_id001-3prime-utr
YIL014C-A	chrIX	325008	325211	-1	YIL014C-A_id001-3prime-utr
YIL014C-A	chrIX	325527	325646	-1	YIL014C-A_id001-5prime-utr
YIL014W	chrIX	325903	326102	1	YIL014W_id001-5prime-utr
YIL014W	chrIX	327996	328145	1	YIL014W_id001-3prime-utr
YIL016W	chrIX	321231	321453	1	YIL016W_id001-5prime-utr
YIL016W	chrIX	321934	322038	1	YIL016W_id001-3prime-utr
YIL017C	chrIX	318083	318199	-1	YIL017C_id001-3prime-utr
YIL017C	chrIX	320966	321057	-1	YIL017C_id001-5prime-utr
YIL018W	chrIX	315438	316767	1	YIL018W_id001-5prime-utr
YIL018W	chrIX	317933	318032	1	YIL018W_id001-3prime-utr
YIL019W	chrIX	315058	315092	1	YIL019W_id001-5prime-utr
YIL019W	chrIX	316134	316746	1	YIL019W_id001-3prime-utr
YIL020C	chrIX	313913	314034	-1	YIL020C_id001-3prime-utr
YIL020C	chrIX	314821	314909	-1	YIL020C_id001-5prime-utr
YIL021W	chrIX	312231	312904	1	YIL021W_id001-5prime-utr
YIL021W	chrIX	313862	313996	1	YIL021W_id001-3prime-utr
YIL022W	chrIX	311047	311164	1	YIL022W_id001-5prime-utr
YIL022W	chrIX	312461	312793	1	YIL022W_id001-3prime-utr
YIL023C	chrIX	309158	309385	-1	YIL023C_id001-3prime-utr
YIL023C	chrIX	310427	310441	-1	YIL023C_id001-5prime-utr
YIL024C	chrIX	308491	308601	-1	YIL024C_id001-3prime-utr
YIL024C	chrIX	309172	310415	-1	YIL024C_id001-5prime-utr
YIL026C	chrIX	304331	304476	-1	YIL026C_id001-3prime-utr
YIL026C	chrIX	307930	307984	-1	YIL026C_id001-5prime-utr
YIL027C	chrIX	303465	303678	-1	YIL027C_id001-3prime-utr
YIL027C	chrIX	304105	304162	-1	YIL027C_id001-5prime-utr
YIL028W	chrIX	301566	302099	1	YIL028W_id001-5prime-utr
YIL028W	chrIX	302499	303668	1	YIL028W_id001-3prime-utr
YIL029C	chrIX	300437	300828	-1	YIL029C_id001-3prime-utr
YIL029C	chrIX	301258	301377	-1	YIL029C_id001-5prime-utr
YIL030C	chrIX	295910	296049	-1	YIL030C_id001-3prime-utr
YIL030C	chrIX	300010	300074	-1	YIL030C_id001-5prime-utr
YIL030W-A	chrIX	294922	295564	1	YIL030W-A_id001-5prime-utr
YIL030W-A	chrIX	295904	295926	1	YIL030W-A_id001-3prime-utr
YIL031W	chrIX	292463	292632	1	YIL031W_id001-5prime-utr
YIL031W	chrIX	295738	295893	1	YIL031W_id001-3prime-utr
YIL033C	chrIX	290228	290418	-1	YIL033C_id001-3prime-utr
YIL033C	chrIX	291670	291962	-1	YIL033C_id001-5prime-utr
YIL034C	chrIX	289179	289225	-1	YIL034C_id001-3prime-utr
YIL034C	chrIX	290090	290597	-1	YIL034C_id001-5prime-utr
YIL035C	chrIX	287154	287789	-1	YIL035C_id001-3prime-utr
YIL035C	chrIX	288909	289021	-1	YIL035C_id001-5prime-utr
YIL036W	chrIX	285498	285665	1	YIL036W_id001-5prime-utr
YIL036W	chrIX	287430	287604	1	YIL036W_id001-3prime-utr
YIL039W	chrIX	278249	278425	1	YIL039W_id001-5prime-utr
YIL039W	chrIX	279848	280077	1	YIL039W_id001-3prime-utr
YIL040W	chrIX	277597	277722	1	YIL040W_id001-5prime-utr
YIL040W	chrIX	278140	278231	1	YIL040W_id001-3prime-utr
YIL041W	chrIX	276503	276524	1	YIL041W_id001-5prime-utr
YIL041W	chrIX	277506	277718	1	YIL041W_id001-3prime-utr
YIL042C	chrIX	274975	275107	-1	YIL042C_id001-3prime-utr
YIL042C	chrIX	276293	276366	-1	YIL042C_id001-5prime-utr
YIL043C	chrIX	273919	274071	-1	YIL043C_id001-3prime-utr
YIL043C	chrIX	274927	274987	-1	YIL043C_id001-5prime-utr
YIL044C	chrIX	272776	272949	-1	YIL044C_id001-3prime-utr
YIL044C	chrIX	273847	273933	-1	YIL044C_id001-5prime-utr
YIL045W	chrIX	271052	271160	1	YIL045W_id001-5prime-utr
YIL045W	chrIX	272778	273055	1	YIL045W_id001-3prime-utr
YIL046W	chrIX	268575	268650	1	YIL046W_id001-5prime-utr
YIL046W	chrIX	270574	270723	1	YIL046W_id001-3prime-utr
YIL046W-A	chrIX	267812	268308	1	YIL046W-A_id001-5prime-utr
YIL046W-A	chrIX	268474	268474	1	YIL046W-A_id001-3prime-utr
YIL047C-A	chrIX	264933	265098	-1	YIL047C-A_id001-3prime-utr
YIL047C-A	chrIX	265468	267766	-1	YIL047C-A_id001-5prime-utr
YIL048W	chrIX	261189	261436	1	YIL048W_id001-5prime-utr
YIL048W	chrIX	264893	265017	1	YIL048W_id001-3prime-utr
YIL049W	chrIX	259939	260157	1	YIL049W_id001-5prime-utr
YIL049W	chrIX	260920	260985	1	YIL049W_id001-3prime-utr
YIL050W	chrIX	258799	258912	1	YIL050W_id001-5prime-utr
YIL050W	chrIX	259771	260315	1	YIL050W_id001-3prime-utr
YIL051C	chrIX	257713	257842	-1	YIL051C_id001-3prime-utr
YIL051C	chrIX	258281	258495	-1	YIL051C_id001-5prime-utr
YIL052C	chrIX	256179	256225	-1	YIL052C_id001-3prime-utr
YIL052C	chrIX	257064	257934	-1	YIL052C_id001-5prime-utr
YIL053W	chrIX	255096	255114	1	YIL053W_id001-5prime-utr
YIL053W	chrIX	255868	256241	1	YIL053W_id001-3prime-utr
YIL054W	chrIX	253878	254542	1	YIL054W_id001-5prime-utr
YIL054W	chrIX	254861	255024	1	YIL054W_id001-3prime-utr
YIL055C	chrIX	251964	252041	-1	YIL055C_id001-3prime-utr
YIL055C	chrIX	253926	254766	-1	YIL055C_id001-5prime-utr
YIL056W	chrIX	249653	249990	1	YIL056W_id001-5prime-utr
YIL056W	chrIX	251914	251969	1	YIL056W_id001-3prime-utr
YIL057C	chrIX	247615	247901	-1	YIL057C_id001-3prime-utr
YIL057C	chrIX	248397	248471	-1	YIL057C_id001-5prime-utr
YIL059C	chrIX	245984	246549	-1	YIL059C_id001-3prime-utr
YIL059C	chrIX	246916	247463	-1	YIL059C_id001-5prime-utr
YIL061C	chrIX	244615	244656	-1	YIL061C_id001-3prime-utr
YIL061C	chrIX	245560	245589	-1	YIL061C_id001-5prime-utr
YIL062C	chrIX	243750	243997	-1	YIL062C_id001-3prime-utr
YIL062C	chrIX	244463	244489	-1	YIL062C_id001-5prime-utr
YIL063C	chrIX	242623	242760	-1	YIL063C_id001-3prime-utr
YIL063C	chrIX	243745	243792	-1	YIL063C_id001-5prime-utr
YIL064W	chrIX	241892	241942	1	YIL064W_id001-5prime-utr
YIL064W	chrIX	242717	242807	1	YIL064W_id001-3prime-utr
YIL065C	chrIX	241238	241307	-1	YIL065C_id001-3prime-utr
YIL065C	chrIX	241776	242263	-1	YIL065C_id001-5prime-utr
YIL066C	chrIX	237955	238098	-1	YIL066C_id001-3prime-utr
YIL066C	chrIX	240709	241732	-1	YIL066C_id001-5prime-utr
YIL067C	chrIX	235606	235723	-1	YIL067C_id001-3prime-utr
YIL067C	chrIX	237761	237819	-1	YIL067C_id001-5prime-utr
YIL068C	chrIX	232945	233056	-1	YIL068C_id001-3prime-utr
YIL068C	chrIX	235475	235533	-1	YIL068C_id001-5prime-utr
YIL069C	chrIX	231059	231552	-1	YIL069C_id001-3prime-utr
YIL069C	chrIX	232370	232414	-1	YIL069C_id001-5prime-utr
YIL070C	chrIX	230163	230271	-1	YIL070C_id001-3prime-utr
YIL070C	chrIX	231073	231373	-1	YIL070C_id001-5prime-utr
YIL071C	chrIX	226508	228659	-1	YIL071C_id001-3prime-utr
YIL071C	chrIX	229995	230024	-1	YIL071C_id001-5prime-utr
YIL074C	chrIX	220971	221080	-1	YIL074C_id001-3prime-utr
YIL074C	chrIX	222491	222624	-1	YIL074C_id001-5prime-utr
YIL075C	chrIX	217759	217862	-1	YIL075C_id001-3prime-utr
YIL075C	chrIX	220701	220768	-1	YIL075C_id001-5prime-utr
YIL076W	chrIX	216253	216657	1	YIL076W_id001-5prime-utr
YIL076W	chrIX	217549	217711	1	YIL076W_id001-3prime-utr
YIL077C	chrIX	214763	214990	-1	YIL077C_id001-3prime-utr
YIL077C	chrIX	215954	216495	-1	YIL077C_id001-5prime-utr
YIL078W	chrIX	212451	212498	1	YIL078W_id001-5prime-utr
YIL078W	chrIX	214704	214985	1	YIL078W_id001-3prime-utr
YIL079C	chrIX	210807	210922	-1	YIL079C_id001-3prime-utr
YIL079C	chrIX	212006	212227	-1	YIL079C_id001-5prime-utr
YIL083C	chrIX	203157	203555	-1	YIL083C_id001-3prime-utr
YIL083C	chrIX	204654	204752	-1	YIL083C_id001-5prime-utr
YIL084C	chrIX	200875	202275	-1	YIL084C_id001-3prime-utr
YIL084C	chrIX	203260	203301	-1	YIL084C_id001-5prime-utr
YIL085C	chrIX	200439	200489	-1	YIL085C_id001-3prime-utr
YIL085C	chrIX	202044	202713	-1	YIL085C_id001-5prime-utr
YIL087C	chrIX	199555	199645	-1	YIL087C_id001-3prime-utr
YIL087C	chrIX	200120	200362	-1	YIL087C_id001-5prime-utr
YIL088C	chrIX	197798	197930	-1	YIL088C_id001-3prime-utr
YIL088C	chrIX	199404	199476	-1	YIL088C_id001-5prime-utr
YIL089W	chrIX	195529	195598	1	YIL089W_id001-5prime-utr
YIL089W	chrIX	196217	196697	1	YIL089W_id001-3prime-utr
YIL090W	chrIX	193424	193594	1	YIL090W_id001-5prime-utr
YIL090W	chrIX	195071	195420	1	YIL090W_id001-3prime-utr
YIL091C	chrIX	190553	191029	-1	YIL091C_id001-3prime-utr
YIL091C	chrIX	193196	193226	-1	YIL091C_id001-5prime-utr
YIL092W	chrIX	188989	189065	1	YIL092W_id001-5prime-utr
